HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,home_fpl,away_fpl,home_win,away_win
Southampton,Man City,2,2,D,,,,1994-95,60.0,81.95,0.41262135922330095,0.33482142857142855
Arsenal,Leicester,1,1,D,,,,1994-95,68.92857142857143,59.875,0.6383763837638377,0.23776223776223776
Chelsea,Tottenham,1,1,D,,,,1994-95,101.9,95.5,0.6051660516605166,0.28044280442804426
Man City,Man United,0,3,A,,,,1994-95,81.95,70.6,0.5401785714285714,0.47601476014760147
West Ham,Everton,2,2,D,,,,1994-95,68.04545454545455,62.32142857142857,0.371900826446281,0.21033210332103322
Crystal Palace,Arsenal,0,3,A,,,,1994-95,63.61904761904762,68.92857142857143,0.2818181818181818,0.36900369003690037
Everton,Man United,1,0,H,,,,1994-95,62.32142857142857,70.6,0.42435424354243545,0.47601476014760147
West Ham,Chelsea,1,2,A,,,,1994-95,68.04545454545455,101.9,0.371900826446281,0.42435424354243545
Leicester,Everton,2,2,D,,,,1994-95,59.875,62.32142857142857,0.34965034965034963,0.21033210332103322
Liverpool,Newcastle,2,0,H,,,,1994-95,70.07407407407408,0.0,0.5793357933579336,0.1910569105691057
Arsenal,West Ham,0,1,A,,,,1994-95,68.92857142857143,68.04545454545455,0.6383763837638377,0.19421487603305784
Chelsea,Crystal Palace,0,0,D,,,,1994-95,101.9,63.61904761904762,0.6051660516605166,0.22727272727272727
Man City,Chelsea,1,2,A,,,,1994-95,81.95,101.9,0.5401785714285714,0.42435424354243545
Newcastle,West Ham,2,0,H,,,,1994-95,0.0,68.04545454545455,0.44715447154471544,0.19421487603305784
Everton,Man City,1,1,D,,,,1994-95,62.32142857142857,81.95,0.42435424354243545,0.33482142857142855
Man United,Tottenham,0,0,D,,,,1994-95,70.6,95.5,0.6678966789667896,0.28044280442804426
Southampton,West Ham,1,1,D,,,,1994-95,60.0,68.04545454545455,0.41262135922330095,0.19421487603305784
Tottenham,Leicester,1,0,H,,,,1994-95,95.5,59.875,0.4944649446494465,0.23776223776223776
Liverpool,Man United,2,0,H,,,,1994-95,70.07407407407408,70.6,0.5793357933579336,0.47601476014760147
Newcastle,Arsenal,1,0,H,,,,1994-95,0.0,68.92857142857143,0.44715447154471544,0.36900369003690037
Man United,Arsenal,3,0,H,,,,1994-95,70.6,68.92857142857143,0.6678966789667896,0.36900369003690037
Southampton,Newcastle,3,1,H,,,,1994-95,60.0,0.0,0.41262135922330095,0.1910569105691057
Tottenham,Liverpool,0,0,D,,,,1994-95,95.5,70.07407407407408,0.4944649446494465,0.35424354243542433
Chelsea,Newcastle,1,1,D,,,,1994-95,101.9,0.0,0.6051660516605166,0.1910569105691057
Crystal Palace,Man City,2,1,H,,,,1994-95,63.61904761904762,81.95,0.2818181818181818,0.33482142857142855
Southampton,Tottenham,4,3,H,,,,1994-95,60.0,95.5,0.41262135922330095,0.28044280442804426
Liverpool,Southampton,3,1,H,,,,1994-95,70.07407407407408,60.0,0.5793357933579336,0.17475728155339806
Tottenham,Man City,2,1,H,,,,1994-95,95.5,81.95,0.4944649446494465,0.33482142857142855
Arsenal,Liverpool,0,1,A,,,,1994-95,68.92857142857143,70.07407407407408,0.6383763837638377,0.35424354243542433
Chelsea,Southampton,0,2,A,,,,1994-95,101.9,60.0,0.6051660516605166,0.17475728155339806
Crystal Palace,Tottenham,1,1,D,,,,1994-95,63.61904761904762,95.5,0.2818181818181818,0.28044280442804426
Everton,Newcastle,2,0,H,,,,1994-95,62.32142857142857,0.0,0.42435424354243545,0.1910569105691057
Man City,Liverpool,2,1,H,,,,1994-95,81.95,70.07407407407408,0.5401785714285714,0.35424354243542433
Leicester,Man United,0,4,A,,,,1994-95,59.875,70.6,0.34965034965034963,0.47601476014760147
Liverpool,Leicester,2,0,H,,,,1994-95,70.07407407407408,59.875,0.5793357933579336,0.23776223776223776
Man United,Chelsea,0,0,D,,,,1994-95,70.6,101.9,0.6678966789667896,0.42435424354243545
Arsenal,Tottenham,1,1,D,,,,1994-95,68.92857142857143,95.5,0.6383763837638377,0.28044280442804426
Man City,Newcastle,0,0,D,,,,1994-95,81.95,0.0,0.5401785714285714,0.1910569105691057
Everton,Chelsea,3,3,D,,,,1994-95,62.32142857142857,101.9,0.42435424354243545,0.42435424354243545
Newcastle,Tottenham,3,3,D,,,,1994-95,0.0,95.5,0.44715447154471544,0.28044280442804426
Southampton,Crystal Palace,3,1,H,,,,1994-95,60.0,63.61904761904762,0.41262135922330095,0.22727272727272727
Crystal Palace,West Ham,1,0,H,,,,1994-95,63.61904761904762,68.04545454545455,0.2818181818181818,0.19421487603305784
Everton,Southampton,0,0,D,,,,1994-95,62.32142857142857,60.0,0.42435424354243545,0.17475728155339806
Leicester,Chelsea,1,1,D,,,,1994-95,59.875,101.9,0.34965034965034963,0.42435424354243545
Man United,Southampton,2,1,H,,,,1994-95,70.6,60.0,0.6678966789667896,0.17475728155339806
West Ham,Liverpool,3,0,H,,,,1994-95,68.04545454545455,70.07407407407408,0.371900826446281,0.35424354243542433
Chelsea,Arsenal,2,1,H,,,,1994-95,101.9,68.92857142857143,0.6051660516605166,0.36900369003690037
Newcastle,Crystal Palace,3,2,H,,,,1994-95,0.0,63.61904761904762,0.44715447154471544,0.22727272727272727
Southampton,Leicester,2,2,D,,,,1994-95,60.0,59.875,0.41262135922330095,0.23776223776223776
West Ham,Man United,1,1,D,,,,1994-95,68.04545454545455,70.6,0.371900826446281,0.47601476014760147
Chelsea,Everton,0,0,D,0.0,0.0,D,1995-96,101.9,62.32142857142857,0.6051660516605166,0.21033210332103322
Man City,Tottenham,1,1,D,0.0,1.0,A,1995-96,81.95,95.5,0.5401785714285714,0.28044280442804426
Everton,Arsenal,0,2,A,0.0,0.0,D,1995-96,62.32142857142857,68.92857142857143,0.42435424354243545,0.36900369003690037
Man United,West Ham,2,1,H,0.0,0.0,D,1995-96,70.6,68.04545454545455,0.6678966789667896,0.19421487603305784
Everton,Southampton,2,0,H,2.0,0.0,H,1995-96,62.32142857142857,60.0,0.42435424354243545,0.17475728155339806
Tottenham,Liverpool,1,3,A,0.0,2.0,A,1995-96,95.5,70.07407407407408,0.4944649446494465,0.35424354243542433
Man City,Everton,0,2,A,0.0,0.0,D,1995-96,81.95,62.32142857142857,0.5401785714285714,0.21033210332103322
West Ham,Tottenham,1,1,D,1.0,0.0,H,1995-96,68.04545454545455,95.5,0.371900826446281,0.28044280442804426
Everton,Man United,2,3,A,1.0,1.0,D,1995-96,62.32142857142857,70.6,0.42435424354243545,0.47601476014760147
Southampton,Newcastle,1,0,H,0.0,0.0,D,1995-96,60.0,0.0,0.41262135922330095,0.1910569105691057
Man City,Arsenal,0,1,A,0.0,0.0,D,1995-96,81.95,68.92857142857143,0.5401785714285714,0.36900369003690037
West Ham,Chelsea,1,3,A,0.0,2.0,A,1995-96,68.04545454545455,101.9,0.371900826446281,0.42435424354243545
Arsenal,West Ham,1,0,H,0.0,0.0,D,1995-96,68.92857142857143,68.04545454545455,0.6383763837638377,0.19421487603305784
Chelsea,Southampton,3,0,H,0.0,0.0,D,1995-96,101.9,60.0,0.6051660516605166,0.17475728155339806
Newcastle,Man City,3,1,H,2.0,0.0,H,1995-96,0.0,81.95,0.44715447154471544,0.33482142857142855
Arsenal,Southampton,4,2,H,2.0,2.0,D,1995-96,68.92857142857143,60.0,0.6383763837638377,0.17475728155339806
West Ham,Everton,2,1,H,2.0,1.0,H,1995-96,68.04545454545455,62.32142857142857,0.371900826446281,0.21033210332103322
Newcastle,Chelsea,2,0,H,1.0,0.0,H,1995-96,0.0,101.9,0.44715447154471544,0.42435424354243545
Chelsea,Arsenal,1,0,H,0.0,0.0,D,1995-96,101.9,68.92857142857143,0.6051660516605166,0.36900369003690037
Everton,Newcastle,1,3,A,0.0,1.0,A,1995-96,62.32142857142857,0.0,0.42435424354243545,0.1910569105691057
Man United,Liverpool,2,2,D,1.0,1.0,D,1995-96,70.6,70.07407407407408,0.6678966789667896,0.35424354243542433
Southampton,West Ham,0,0,D,0.0,0.0,D,1995-96,60.0,68.04545454545455,0.41262135922330095,0.19421487603305784
Man United,Man City,1,0,H,1.0,0.0,H,1995-96,70.6,81.95,0.6678966789667896,0.33482142857142855
Chelsea,Man United,1,4,A,0.0,2.0,A,1995-96,101.9,70.6,0.6051660516605166,0.47601476014760147
Everton,Tottenham,1,1,D,1.0,1.0,D,1995-96,62.32142857142857,95.5,0.42435424354243545,0.28044280442804426
Southampton,Liverpool,1,3,A,1.0,1.0,D,1995-96,60.0,70.07407407407408,0.41262135922330095,0.35424354243542433
Liverpool,Man City,6,0,H,2.0,0.0,H,1995-96,70.07407407407408,81.95,0.5793357933579336,0.33482142857142855
Tottenham,Newcastle,1,1,D,1.0,0.0,H,1995-96,95.5,0.0,0.4944649446494465,0.1910569105691057
